"symbol","quote","contract","reportedLiquidityUsd","impliedBaseUsd","impliedQuoteUsd","baseSharePct","priceUsd"
"CATGPT","OPENAIx1L","0xd6FDE6a3Fc6Ab2d83b2BE58383944CA1baDe1E18","8908068.79","8680458.629080001","227610.16091999784","97.44489893055712","0.01412"
"ANTHROPIG","ANTHROPICx1L","0x351Ab2C51e223B28D219fE28cc3956410CC11e18","3952178.53","3785585.433368","166593.0966319996","95.7847780567747","0.006026"
"ANTHROPIG","WETH","0x04d6AAa3147B9f5b5dB255d3151561c07019BDC6","367648.43","183682.96308","183965.46692","49.96157962105264","0.01049"
"CATGPT","USDG","0xd6FDE6a3Fc6Ab2d83b2BE58383944CA1baDe1E18","151425.26","23310.65394","128114.60606","15.394164712017002","0.01358"
"ANTHROPIG","USDG","0x351Ab2C51e223B28D219fE28cc3956410CC11e18","102970.24","15065.41155","87904.82845","14.630840473907801","0.006090"
